striker,n_balls_mi,mean_P_j,mean_RPB,mean_BoundaryRate,mean_DismissalRate,NCBPI,confidence,CWBPI,CWBPI_normalized
I Sharma,6,0.5,3.3333333333333335,0.6666666666666666,0.0,2.0,0.0118577075098814,0.8843184116187148,0.8413169941385533
MJ Guptill,38,0.5,1.894736842105263,0.2631578947368421,0.0526315789473684,1.0526315789473684,0.070631970260223,0.883764156652546,0.840789690719336
CR Brathwaite,50,0.62,1.44,0.18,0.06,1.01,0.0909090909090909,0.8835729386892177,0.8406077710397059
Kamran Akmal,15,0.7333333333333333,2.0,0.3333333333333333,0.1333333333333333,1.3,0.029126213592233,0.883427410250621,0.8404693191575408
LMP Simmons,171,0.6549707602339181,1.2339181286549707,0.1637426900584795,0.0292397660818713,0.9181286549707602,0.2548435171385991,0.8829584445291652,0.840023157655139
Tilak Varma,80,0.5,1.725,0.2125,0.05,0.94375,0.1379310344827586,0.8809743384121891,0.838135531917108
A Mithun,8,1.0,1.375,0.25,0.125,1.5,0.0157480314960629,0.880836843069035,0.8380047225080868
DA Warner,200,0.5975,1.28,0.18,0.045,0.905,0.2857142857142857,0.8806644518272425,0.8378407140701134
OC McCoy,5,1.0,1.6,0.2,0.0,1.8,0.0099009900990099,0.8801289431268708,0.8373312453491049
Rashid Khan,45,0.5222222222222223,1.7777777777777777,0.3111111111111111,0.1111111111111111,0.9777777777777776,0.0825688073394495,0.879752506934073,0.8369731139769107
JM Bairstow,49,0.5,1.7346938775510203,0.2448979591836734,0.0408163265306122,0.9693877551020408,0.0892531876138433,0.8797178802897445,0.8369401711093407
S Dube,38,0.7763157894736842,1.0789473684210529,0.0526315789473684,0.0526315789473684,0.986842105263158,0.070631970260223,0.8791173165038472,0.8363688107118853
Naman Dhir,25,0.5,1.84,0.32,0.08,1.04,0.0476190476190476,0.8789811738648947,0.8362392882296292
P Simran Singh,41,0.7682926829268293,1.2195121951219512,0.1463414634146341,0.073170731707317,0.975609756097561,0.0757855822550831,0.8788634311997593,0.8361272709926113
LRPL Taylor,126,0.6587301587301587,1.238095238095238,0.1428571428571428,0.0476190476190476,0.9047619047619048,0.2012779552715655,0.8777398023627312,0.8350582804307554
S Anirudha,19,0.6052631578947368,1.5789473684210529,0.2105263157894736,0.0526315789473684,1.0526315789473684,0.0366088631984585,0.8775821122910785,0.8349082582946726
TA Boult,16,0.71875,1.4375,0.1875,0.1875,1.0625,0.0310077519379844,0.876870380385794,0.834231135507994
PJ Cummins,48,0.6979166666666666,1.2291666666666667,0.1666666666666666,0.0625,0.9375,0.0875912408759124,0.8767611610931929,0.8341272271806927
Shakib Al Hasan,111,0.6396396396396397,1.2612612612612613,0.1711711711711711,0.072072072072072,0.9009009009009008,0.1816693944353518,0.8763749857267917,0.8337598302180124
CJ Anderson,10,0.5,2.0,0.3,0.1,1.1,0.0196078431372549,0.8754217966256269,0.8328529914833425
PVD Chameera,5,0.5,2.2,0.4,0.0,1.3,0.0099009900990099,0.8751784480773659,0.8326214761530485
AM Nayar,44,0.7954545454545454,1.1136363636363635,0.1136363636363636,0.0454545454545454,0.9204545454545454,0.0808823529411764,0.8749358755129959,0.8323906990731699
SS Iyer,246,0.6138211382113821,1.3211382113821135,0.1666666666666666,0.0447154471544715,0.8821138211382114,0.3297587131367292,0.8746181183365546,0.8320883933549612
S Vidyut,21,0.8333333333333334,1.0476190476190477,0.1428571428571428,0.0952380952380952,0.9523809523809524,0.0403071017274472,0.8742132750078113,0.8317032361898945
Washington Sundar,32,0.515625,1.65625,0.25,0.0625,0.921875,0.0601503759398496,0.8739945794719356,0.8314951750792616
Swapnil Singh,4,0.5,2.25,0.25,0.0,1.25,0.0079365079365079,0.873938722775932,0.831442034505723
MEK Hussey,317,0.6593059936908517,1.22397476340694,0.1514195583596214,0.0315457413249211,0.8785488958990536,0.3880048959608323,0.8738863112350915,0.8313921715610881
BKG Mendis,11,0.5,1.818181818181818,0.2727272727272727,0.0909090909090909,1.0,0.0215264187866927,0.873708642424794,0.8312231421849405
RJ Harris,34,0.6470588235294118,1.2941176470588236,0.0588235294117647,0.0588235294117647,0.9117647058823528,0.0636704119850187,0.8735301802978834,0.8310533580684875
SE Marsh,89,0.5,1.550561797752809,0.247191011235955,0.0224719101123595,0.8876404494382022,0.1511035653650254,0.8734552059067398,0.8309820294287513
LR Shukla,17,0.6764705882352942,1.588235294117647,0.2352941176470588,0.0588235294117647,0.9411764705882352,0.0328820116054158,0.873240070172282,0.8307773550184171
Z Khan,24,1.0,0.9166666666666666,0.0833333333333333,0.0833333333333333,0.9166666666666666,0.0458015267175572,0.8730250310669271,0.8305727725384388
SN Thakur,11,0.6818181818181818,1.7272727272727273,0.2727272727272727,0.2727272727272727,0.9545454545454546,0.0215264187866927,0.8727301688435807,0.830292248469086
AC Gilchrist,140,0.5214285714285715,1.5642857142857145,0.2642857142857143,0.0571428571428571,0.8785714285714286,0.21875,0.8726017441860465,0.8301700686688802
V Shankar,53,0.5,1.6226415094339623,0.2264150943396226,0.0754716981132075,0.8867924528301887,0.0958408679927667,0.8724504815173051,0.8300261613928144
SPD Smith,68,0.8897058823529411,0.9411764705882352,0.0735294117647058,0.0441176470588235,0.8823529411764706,0.1197183098591549,0.8722977399279397,0.8298808471110393
RA Bawa,4,0.5,2.0,0.0,0.0,1.0,0.0079365079365079,0.871954595791805,0.82955438891524
M Shahrukh Khan,7,0.5,1.8571428571428572,0.1428571428571428,0.1428571428571428,0.9285714285714286,0.0138067061143984,0.8717260676115774,0.8293369732885394
